            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
------------------------------------------------------------------------------------------------------
            0.416                0                0          9241.97         -17.2562          400.744
            0.416           0.0025                0          9938.61         -928.134          781.658
            0.416            0.005                0          14556.9         -3580.67          804.831
            0.416           0.0075                0          20249.3         -2590.77          730.558
            0.416             0.01                0          24389.5         -195.948          13.2469
            0.416           0.0125                0          30145.7          4448.09         -216.067
            0.416            0.015                0            34931          13776.1          51.2312
            0.416           0.0175                0          39341.9          29061.6         -37.6844
            0.416             0.02                0          37696.4            63713          1068.15
         0.419875                0                0          13600.8          264.895         -394.135
         0.419875           0.0025                0          14151.4          383.068         -222.619
         0.419875            0.005                0          14819.6          1192.31         -385.268
         0.419875           0.0075                0          15948.7          2670.23         -247.355
         0.419875             0.01                0            17427          5651.64          178.478
         0.419875           0.0125                0            18342          9338.95          -205.28
         0.419875            0.015                0          19374.5          15874.8          306.829
         0.419875           0.0175                0          11587.4            20511          38.8676
         0.419875             0.02                0                0                0                0
          0.42375                0                0          11201.8         -234.042         -172.676
          0.42375           0.0025                0            11193          611.098         -243.064
          0.42375            0.005                0            11148          1618.38         -226.951
          0.42375           0.0075                0          11328.3          2784.44         -153.502
          0.42375             0.01                0          12249.7          5714.63         -90.3578
          0.42375           0.0125                0          9946.32          7696.85         -83.4832
          0.42375            0.015                0          8019.07          8859.54         -128.001
          0.42375           0.0175                0          4544.55          11239.1          92.1467
          0.42375             0.02                0                0                0                0
         0.427625                0                0          8216.34         -60.9477          61.3644
         0.427625           0.0025                0           8193.9          876.426         -8.65939
         0.427625            0.005                0          7975.53          1948.54          21.9434
         0.427625           0.0075                0          7659.09          3045.25           16.537
         0.427625             0.01                0          6917.63          3923.44          43.4172
         0.427625           0.0125                0          6372.91           5416.1         -125.252
         0.427625            0.015                0          4652.69          6069.12         -129.752
         0.427625           0.0175                0          2244.06          6185.17          15.5904
         0.427625             0.02                0                0                0                0
           0.4315                0                0          5796.08         -91.0035           20.666
           0.4315           0.0025                0          5885.55          753.814           45.476
           0.4315            0.005                0          5619.85          1684.31          68.1864
           0.4315           0.0075                0          5207.26          2159.17          57.4186
           0.4315             0.01                0          4537.79          2618.26          124.757
           0.4315           0.0125                0          3287.81          3243.82         -8.26259
           0.4315            0.015                0          2248.42          3499.69         -14.6228
           0.4315           0.0175                0          1175.39          3701.16          4.43332
           0.4315             0.02                0                0                0                0
         0.435375                0                0          3870.83           73.774        -0.291645
         0.435375           0.0025                0          3914.59          418.385         -33.5578
         0.435375            0.005                0          3581.36          849.913         -42.8226
         0.435375           0.0075                0          3253.41          1341.41         -53.7166
         0.435375             0.01                0          2693.45          1810.42          7.85654
         0.435375           0.0125                0          2271.95          2020.36          74.2278
         0.435375            0.015                0          1520.09          2199.57          48.8444
         0.435375           0.0175                0          733.572          2184.82          2.99068
         0.435375             0.02                0                0                0                0
          0.43925                0                0          2848.94          67.6026         -13.0555
          0.43925           0.0025                0          2784.17          265.497         -14.7801
          0.43925            0.005                0          2619.46          467.302         -15.1507
          0.43925           0.0075                0          2296.41          738.432          -0.6748
          0.43925             0.01                0           1845.4          991.319         -6.50322
          0.43925           0.0125                0          1445.31          1136.21          16.5454
          0.43925            0.015                0           1031.2          1199.19          9.97714
          0.43925           0.0175                0          496.626          1220.16         -4.06132
          0.43925             0.02                0                0                0                0
         0.443125                0                0          2124.97         -44.0372          16.2867
         0.443125           0.0025                0          2087.98          140.485          2.61683
         0.443125            0.005                0          1958.53          239.834          21.1504
         0.443125           0.0075                0           1749.7          393.344         -28.7838
         0.443125             0.01                0          1489.79          446.652          4.40964
         0.443125           0.0125                0          1134.74          552.563          1.69189
         0.443125            0.015                0          757.862          560.261          2.45478
         0.443125           0.0175                0          360.191          537.593         -1.49932
         0.443125             0.02                0                0                0                0
            0.447                0                0          1928.86          2.01366         0.236555
            0.447           0.0025                0          1871.06         -2.63607          1.40083
            0.447            0.005                0          1747.25         -1.65818            1.143
            0.447           0.0075                0          1560.57          1.22144       -0.0835457
            0.447             0.01                0          1314.16          2.27697          -1.8254
