            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
------------------------------------------------------------------------------------------------------
            0.416                0                0          8061.21          337.145          635.099
            0.416           0.0025                0          8606.79         -2964.32         -243.836
            0.416            0.005                0          11028.7         -5318.39         -658.416
            0.416           0.0075                0          15192.2          -4150.5         -269.133
            0.416             0.01                0          24556.6         -1980.01         -87.9106
            0.416           0.0125                0            28575          1230.37         -337.665
            0.416            0.015                0          35498.6          12608.5         -63.7531
            0.416           0.0175                0          39124.1          28108.3         -63.4116
            0.416             0.02                0          37018.4          63821.9          2146.88
         0.419875                0                0          11018.9          55.5741          70.0802
         0.419875           0.0025                0          11711.6         -124.565          364.381
         0.419875            0.005                0          12953.6          99.3409          682.001
         0.419875           0.0075                0          13840.1          1405.97          376.687
         0.419875             0.01                0          14899.2          3470.31         -223.145
         0.419875           0.0125                0          17832.8          7376.01           47.499
         0.419875            0.015                0          16806.1          14203.2           3.0329
         0.419875           0.0175                0          10122.1          18817.4         -93.6066
         0.419875             0.02                0                0                0                0
          0.42375                0                0          9992.21           49.533         -52.6432
          0.42375           0.0025                0          9508.49          760.176         -108.384
          0.42375            0.005                0          10176.6          1111.19          251.857
          0.42375           0.0075                0          10489.2           3082.1          162.558
          0.42375             0.01                0          10432.8           5268.6         -84.5986
          0.42375           0.0125                0          10089.8          6970.28          -152.63
          0.42375            0.015                0          7439.63          8418.54         -125.819
          0.42375           0.0175                0          4363.33          10535.9         -139.758
          0.42375             0.02                0                0                0                0
         0.427625                0                0          7562.36          1.75958         -59.5468
         0.427625           0.0025                0          7566.33          794.673         -49.6123
         0.427625            0.005                0          7551.31          1529.21           -57.21
         0.427625           0.0075                0          7065.55             2496          84.9437
         0.427625             0.01                0          6913.87          3948.43          87.0846
         0.427625           0.0125                0          6406.03          4969.64         -125.537
         0.427625            0.015                0          4305.35          5466.13         -66.1583
         0.427625           0.0175                0          2150.64          5859.92         -10.5371
         0.427625             0.02                0                0                0                0
           0.4315                0                0          5407.46         -141.028          50.2946
           0.4315           0.0025                0          5488.34          610.569          20.6027
           0.4315            0.005                0          5179.29          1298.64          54.1294
           0.4315           0.0075                0          4503.58          1950.57           49.074
           0.4315             0.01                0          3969.25          2546.61         -4.98956
           0.4315           0.0125                0             3142          2912.88          -4.8175
           0.4315            0.015                0          2208.72          3346.86          1.53757
           0.4315           0.0175                0          1131.75           3466.5         -9.84519
           0.4315             0.02                0                0                0                0
         0.435375                0                0          3513.38          30.3205         -35.5919
         0.435375           0.0025                0          3568.95          388.537         -1.86766
         0.435375            0.005                0          3362.02          838.822         -48.2605
         0.435375           0.0075                0          3099.31          1316.87          -90.359
         0.435375             0.01                0           2776.8          1689.85         -76.4862
         0.435375           0.0125                0          2307.14          1830.23         -74.4652
         0.435375            0.015                0          1474.46          1988.99         -13.9899
         0.435375           0.0175                0          763.074          2036.74          24.1184
         0.435375             0.02                0                0                0                0
          0.43925                0                0          2565.93          50.1259         -38.5833
          0.43925           0.0025                0          2499.44          262.364         -27.1747
          0.43925            0.005                0          2210.97          511.654          27.9799
          0.43925           0.0075                0          2033.31          746.533          25.7037
          0.43925             0.01                0          1729.07          898.643           15.926
          0.43925           0.0125                0          1292.55          1043.79          21.4635
          0.43925            0.015                0          878.841          1118.22          21.4389
          0.43925           0.0175                0          470.801          1132.08         -3.74477
          0.43925             0.02                0                0                0                0
         0.443125                0                0           1979.2          11.8316          22.1069
         0.443125           0.0025                0          1956.32          116.241         -2.21889
         0.443125            0.005                0          1819.46          219.744         -2.09333
         0.443125           0.0075                0          1639.45          357.128          1.57559
         0.443125             0.01                0          1397.99          414.992          13.9332
         0.443125           0.0125                0          1034.93          502.949          16.2462
         0.443125            0.015                0          675.536          507.387          16.8862
         0.443125           0.0175                0          332.171           502.56         0.244102
         0.443125             0.02                0                0                0                0
            0.447                0                0           1788.3         0.170709          1.39103
            0.447           0.0025                0          1739.43        -0.184708          3.73329
            0.447            0.005                0          1623.35         -1.10349          4.96103
            0.447           0.0075                0          1449.55         -1.18261          3.84096
            0.447             0.01                0          1227.52         0.980853         -0.86024
            0.447           0.0125                0          934.394         -1.66146         0.749989
            0.447            0.015                0          623.085        -0.183488         -1.34317
            0.447           0.0175                0          307.114          1.63146          -2.9798
            0.447             0.02                0                0                0                0
            0.406                0                0         -97285.3          305.136         -5236.93
            0.406           0.0025                0         -88383.3         -40729.5         -10477.2
            0.406            0.005                0         -55176.3         -70859.9          -6959.4
            0.406           0.0075                0         -22632.2           -65139         -813.512
            0.406             0.01                0          11128.4         -63367.7         -1062.46
            0.406           0.0125                0          36869.3         -59892.2          323.787
            0.406            0.015                0          57132.2         -52381.4         -399.807
            0.406           0.0175                0          73760.2         -49806.8          -157.35
            0.406             0.02                0           102202         -75110.5          251.778
          0.40725                0                0         -65296.5          5354.63         -4574.85
          0.40725           0.0025                0         -56826.7         -34248.9         -5990.27
          0.40725            0.005                0         -33315.8         -41531.9         -1219.07
          0.40725           0.0075                0         -15227.9         -52751.2          2847.39
          0.40725             0.01                0          14428.9         -52608.8          310.975
          0.40725           0.0125                0          36862.7         -47144.1           326.57
          0.40725            0.015                0          58088.6         -43606.8         -641.533
          0.40725           0.0175                0            78921         -39031.7          375.276
          0.40725             0.02                0           116408         -439.922          31.2063
           0.4085                0                0         -41753.1          9434.66          -1764.3
           0.4085           0.0025                0           -33283         -12550.1         -1822.72
           0.4085            0.005                0         -21412.7         -30020.2         -3230.67
           0.4085           0.0075                0         -4475.42         -41442.9          1361.78
           0.4085             0.01                0          15000.2         -41863.3          2244.56
           0.4085           0.0125                0            35276         -37329.3          1203.11
           0.4085            0.015                0          57711.1         -33282.5          157.133
           0.4085           0.0175                0          80251.6           -27879          922.137
           0.4085             0.02                0           110152         -879.844         -4.09885
          0.40975                0                0         -32530.9          9947.04         -1830.57
          0.40975           0.0025                0           -23615         -8905.28         -3590.42
          0.40975            0.005                0         -9509.33         -18508.2         -5242.32
          0.40975           0.0075                0          7344.37         -30027.8         -604.306
          0.40975             0.01                0            21004         -31510.8          223.448
          0.40975           0.0125                0            36690         -27667.7          1297.07
          0.40975            0.015                0          57333.6         -22958.1          955.818
          0.40975           0.0175                0            79986           -15967          278.384
          0.40975             0.02                0           103871         -323.021          66.4764
            0.411                0                0         -22568.9          9065.11         -2383.18
            0.411           0.0025                0         -14446.3         -8530.48         -3488.33
            0.411            0.005                0           880.64         -16237.1         -2393.27
            0.411           0.0075                0          12198.6         -20402.4         -1357.58
            0.411             0.01                0          24367.5           -21844         -1064.62
            0.411           0.0125                0          39755.7         -19246.7          370.302
            0.411            0.015                0          55590.7         -13330.5         -643.572
            0.411           0.0175                0          75734.1         -4901.18          328.507
            0.411             0.02                0          97739.5          909.231          237.682
          0.41225                0                0         -9985.37          3847.84         -1041.51
          0.41225           0.0025                0         -4562.46         -7281.52         -1494.55
          0.41225            0.005                0           5397.9         -12963.9         -778.509
          0.41225           0.0075                0          13379.3         -15129.7         -626.307
          0.41225             0.01                0          23333.5         -12923.4         -46.6445
          0.41225           0.0125                0          37106.5         -12767.8          672.385
          0.41225            0.015                0            51372         -5505.34          -700.64
          0.41225           0.0175                0          70538.7          5452.32           38.668
          0.41225             0.02                0          91615.9          2402.76          6.94096
           0.4135                0                0          1851.01          -963.72          327.953
           0.4135           0.0025                0          404.297          -4821.1         -61.7593
           0.4135            0.005                0          6121.65         -8703.67         -146.228
           0.4135           0.0075                0          14559.9         -9856.96          104.966
           0.4135             0.01                0          24514.2         -7650.66          684.629
           0.4135           0.0125                0          35046.6         -5722.46          299.217
           0.4135            0.015                0          47289.6          2657.11         -303.251
           0.4135           0.0175                0          62945.2          14444.6         -77.7139
           0.4135             0.02                0          88823.4          2200.21          32.1249
          0.41475                0                0           4990.2         -280.936          494.363
          0.41475           0.0025                0          4504.46         -3893.19         -152.179
          0.41475            0.005                0          9200.24         -7024.19         -821.389
          0.41475           0.0075                0          15030.9         -6593.35         -592.167
          0.41475             0.01                0            24886         -4668.84         -245.484
          0.41475           0.0125                0          32375.1         -1745.67         -557.747
          0.41475            0.015                0          41731.4          9067.22         -200.264
          0.41475           0.0175                0          53511.7          22056.1          -329.36
          0.41475             0.02                0          88300.2          1242.35          85.4309
            0.416                0                0          8061.21          337.145          635.099
            0.416           0.0025                0          8606.79         -2964.32         -243.836
            0.416            0.005                0          11028.7         -5318.39         -658.416
            0.416           0.0075                0          15192.2          -4150.5         -269.133
            0.416             0.01                0          24556.6         -1980.01         -87.9106
            0.416           0.0125                0            28575          1230.37         -337.665
            0.416            0.015                0          35498.6          12608.5         -63.7531
            0.416           0.0175                0          39124.1          28108.3         -63.4116
            0.416             0.02                0          37018.4          63821.9          2146.88
            0.397                0                0          -841059          4533.27          3342.69
            0.397         0.001375                0          -828473          -122523         -6595.84
            0.397          0.00275                0          -814292          -240782         -16731.5
            0.397         0.004125                0          -707896          -361155             2415
            0.397           0.0055                0          -601666          -480504          2643.48
            0.397         0.006875                0          -450799          -550592           788.43
            0.397          0.00825                0          -223282          -606806          -1880.1
            0.397         0.009625                0          67184.8          -558967         -1036.81
            0.397            0.011                0           286205          -325131         -784.933
         0.398125                0                0          -673048         -6537.31          15755.1
         0.398125       0.00151563                0          -641481          -115409          3070.53
         0.398125       0.00303125                0          -603259          -214474           4205.2
         0.398125       0.00454687                0          -522877          -344131          16243.3
         0.398125        0.0060625                0          -431343          -414245          4310.14
         0.398125       0.00757812                0          -219404          -456042          889.118
         0.398125       0.00909375                0         -48717.1          -436332          6331.71
         0.398125        0.0106094                0           152288          -290260          3949.75
         0.398125         0.012125                0        -0.067337        0.0646022        0.0775654
          0.39925                0                0          -513081          7103.43          305.087
          0.39925       0.00165625                0          -495358           -88692          3957.27
          0.39925        0.0033125                0          -458192          -197446          14181.8
          0.39925       0.00496875                0          -367466          -274678          14649.5
          0.39925         0.006625                0          -261724          -319160          11344.8
          0.39925       0.00828125                0          -110668          -338332          1159.79
          0.39925        0.0099375                0          20370.5          -261789          4233.14
          0.39925        0.0115937                0           117454          -189266          365.333
          0.39925          0.01325                0       -0.0329153        0.0388613        0.0683147
         0.400375                0                0          -430446            13496         -7767.76
         0.400375       0.00179688                0          -391108         -73686.5           6525.3
         0.400375       0.00359375                0          -329729          -151605         -10172.6
         0.400375       0.00539062                0          -255168          -206531          870.657
         0.400375        0.0071875                0          -166066          -240520          6204.88
         0.400375       0.00898437                0         -57584.4          -227718         -2911.29
         0.400375        0.0107812                0          25433.1          -178342          1588.39
         0.400375        0.0125781                0          64507.1          -124649         -500.871
         0.400375         0.014375                0          81341.8         -79640.9          256.391
           0.4015                0                0          -342331          15309.8           -10360
           0.4015        0.0019375                0          -310301         -67635.8          14854.2
           0.4015         0.003875                0          -241369          -133869         -344.489
           0.4015        0.0058125                0          -161354          -170769          7046.97
           0.4015          0.00775                0         -97015.2          -180023         -6079.48
           0.4015        0.0096875                0         -27663.1          -164788         -2681.56
           0.4015         0.011625                0          40210.5          -131061          452.097
           0.4015        0.0135625                0          57650.3         -91783.2          -1349.8
           0.4015           0.0155                0       -0.0170081        0.0301254       -0.0217381
         0.402625                0                0          -246075          10328.4          -4818.5
         0.402625       0.00207813                0          -221473         -57312.1          15979.7
         0.402625       0.00415625                0          -159074          -116161          5368.86
         0.402625       0.00623438                0          -120821          -154478         -4488.18
         0.402625        0.0083125                0         -62101.4          -146458          -7026.5
         0.402625        0.0103906                0         -4950.46          -127053           4147.4
         0.402625        0.0124688                0          39085.5           -97653          -393.11
         0.402625        0.0145469                0          54447.6         -68173.6         -2130.71
         0.402625         0.016625                0        0.0184639       -0.0256477       -0.0618585
          0.40375                0                0          -164836          3747.83          266.082
          0.40375       0.00221875                0          -152954         -49194.2          8061.39
          0.40375        0.0044375                0          -117169          -111456         -6999.19
          0.40375       0.00665625                0           -83099          -128119         -14958.3
          0.40375         0.008875                0         -31412.3          -111827         -2782.65
          0.40375        0.0110937                0          17684.4         -92650.2          2706.49
          0.40375        0.0133125                0            44380         -70793.5         -2059.94
          0.40375        0.0155312                0          51482.6         -62567.6         -1176.01
          0.40375          0.01775                0        0.0430902       -0.0588682       -0.0752101
         0.404875                0                0          -126182         -2305.38          791.161
         0.404875       0.00235937                0          -123516         -45982.7         -6349.64
         0.404875       0.00471875                0         -79499.4          -101277         -14352.5
         0.404875       0.00707812                0         -53010.4         -96292.4         -8018.96
         0.404875        0.0094375                0         -1248.06         -77133.1          836.044
         0.404875        0.0117969                0          30529.6         -73298.1         -388.089
         0.404875        0.0141563                0            46857         -62835.4         -274.579
         0.404875        0.0165156                0          61070.8         -53621.5         -538.011
         0.404875         0.018875                0          83431.8           -67653         -206.839
            0.406                0                0         -97285.3          305.136         -5236.93
            0.406           0.0025                0         -88383.3         -40729.5         -10477.2
            0.406            0.005                0         -55176.3         -70859.9          -6959.4
            0.406           0.0075                0         -22632.2           -65139         -813.512
            0.406             0.01                0          11128.4         -63367.7         -1062.46
            0.406           0.0125                0          36869.3         -59892.2          323.787
            0.406            0.015                0          57132.2         -52381.4         -399.807
            0.406           0.0175                0          73760.2         -49806.8          -157.35
            0.406             0.02                0           102202         -75110.5          251.778
         0.392738                0                0     -1.78334e+06         -1412.39         -769.945
         0.392738        0.0013007                0     -1.78122e+06          -157005         -336.238
         0.392738       0.00260139                0      -1.7725e+06          -329537          5138.09
         0.392738       0.00390209                0     -1.77379e+06          -531170         -6861.05
         0.392738       0.00520278                0      -1.7615e+06          -751363          -4869.8
         0.392738       0.00650348                0     -1.76296e+06     -1.02474e+06          4288.38
         0.392738       0.00780417                0     -1.72214e+06      -1.3716e+06          2992.42
         0.392738       0.00910487                0     -1.67735e+06     -2.01354e+06          4499.93
         0.392738        0.0104056                0     -1.68835e+06      -3.0068e+06          6701.47
         0.393271                0                0     -1.64814e+06         -233.566         -1527.42
         0.393267        0.0012225                0     -1.64715e+06          -146481         -1114.18
         0.393263       0.00245866                0     -1.64047e+06          -300680          2303.33
         0.393259       0.00370871                0     -1.62944e+06          -491662          4824.52
         0.393255       0.00497287                0     -1.60011e+06          -691619         -5537.86
          0.39325        0.0062514                0      -1.5649e+06          -934687         -329.285
         0.393246       0.00754454                0     -1.46436e+06     -1.26174e+06         -108.441
         0.393242       0.00885253                0     -1.35533e+06     -1.79936e+06         -1762.12
         0.393238        0.0101756                0     -1.18948e+06     -2.60394e+06          3613.65
         0.393803                0                0     -1.51294e+06           945.27         -2284.88
         0.393802        0.0011688                0     -1.51147e+06          -138873         -1892.74
           0.3938       0.00236016                0     -1.50488e+06          -278275         -226.145
         0.393798       0.00357474                0     -1.48548e+06          -452122          4309.32
         0.393796       0.00481322                0     -1.44573e+06          -644791         -1812.88
         0.393795       0.00607633                0     -1.36973e+06          -859216         -2184.07
         0.393793       0.00736479                0     -1.24521e+06      -1.1793e+06          530.385
         0.393791       0.00867939                0     -1.00869e+06     -1.61503e+06          1943.18
         0.393789        0.0100209                0          -621156     -2.21459e+06          879.754
         0.394336                0                0     -1.37775e+06          2124.06         -3042.34
          0.39434       0.00114013                0     -1.37481e+06          -134251         -2668.27
         0.394345        0.0023079                0     -1.36663e+06          -268628         -1345.14
         0.394349       0.00350433                0     -1.34294e+06          -430751          158.174
         0.394354       0.00473049                0     -1.28378e+06          -610179          1694.32
         0.394358        0.0059875                0     -1.18839e+06          -806876          654.326
         0.394363       0.00727654                0     -1.03823e+06     -1.03986e+06          196.238
         0.394368       0.00859886                0          -767434     -1.43482e+06          368.625
         0.394373       0.00995574                0          -163395      -1.8363e+06         -495.413
         0.394869                0                0     -1.26927e+06          11043.7         -12002.1
          0.39488       0.00113681                0     -1.25207e+06          -128535         -7808.28
         0.394892       0.00230307                0     -1.22884e+06          -266031         -2497.11
         0.394904       0.00349994                0     -1.20039e+06          -413576         -2420.76
         0.394916       0.00472863                0     -1.13795e+06          -576602           5259.1
         0.394929       0.00599044                0     -1.03281e+06          -740653          16470.5
         0.394942       0.00728672                0          -810031          -937638         -356.313
         0.394955       0.00861891                0          -484657     -1.28576e+06         -3971.28
         0.394969       0.00998851                0          29458.5     -1.43725e+06          12.9116
         0.395402                0                0     -1.16157e+06          19050.1         -18089.6
         0.395419       0.00115893                0     -1.14241e+06          -122160         -16861.6
         0.395436       0.00234595                0     -1.11948e+06          -260580         -10743.2
         0.395454       0.00356211                0     -1.06617e+06          -391254           646.93
         0.395472       0.00480849                0          -995501          -548055          10086.8
         0.395491       0.00608623                0          -888242          -682938          25965.2
          0.39551       0.00739652                0          -639021          -876962          9930.56
          0.39553       0.00874063                0          -272077          -979495           2258.5
          0.39555        0.0101199                0           254041     -1.05662e+06          660.937
         0.395934                0                0     -1.05628e+06          21018.3         -7861.63
         0.395953       0.00120631                0     -1.03348e+06          -119414         -24394.4
         0.395972        0.0024359                0     -1.01773e+06          -248134         -13092.8
         0.395992       0.00368945                0          -955918          -385541         -2357.35
         0.396011       0.00496768                0          -860366          -510414          3691.05
         0.396032       0.00627132                0          -734490          -651931          13734.1
         0.396052       0.00760113                0          -494797          -812236          4504.62
         0.396073       0.00895792                0          -112191          -850606         -829.884
         0.396094        0.0103425                0           281045          -786920          265.486
         0.396467                0                0          -940366          11887.4         -2341.41
         0.396481       0.00127854                0          -928450          -125417         -15076.3
         0.396495       0.00257137                0          -918313          -240191         -14544.9
         0.396509       0.00387871                0          -838414          -377975         -1746.38
         0.396523       0.00520082                0          -727381          -486783          545.285
         0.396538       0.00653796                0          -575316          -632748          2121.85
         0.396552       0.00789037                0          -326368          -699198          2455.28
         0.396567       0.00925832                0         -220.113          -740520         -6399.37
         0.396582        0.0106421                0           275143          -547505         -310.172
            0.397                0                0          -841059          4533.27          3342.69
            0.397         0.001375                0          -828473          -122523         -6595.84
            0.397          0.00275                0          -814292          -240782         -16731.5
            0.397         0.004125                0          -707896          -361155             2415
            0.397           0.0055                0          -601666          -480504          2643.48
            0.397         0.006875                0          -450799          -550592           788.43
            0.397          0.00825                0          -223282          -606806          -1880.1
            0.397         0.009625                0          67184.8          -558967         -1036.81
            0.397            0.011                0           286205          -325131         -784.933
            0.406             0.02                0        0.0527332       -0.0429417      -0.00414906
            0.406          0.02125                0        0.0121774       -0.0177645       0.00510107
            0.406           0.0225                0       -0.0283784       0.00741264        0.0143512
            0.406          0.02375                0       -0.0821425        0.0174783        0.0160383
            0.406            0.025                0        -0.162324      -0.00267895       0.00259949
            0.406          0.02625                0        -0.242505       -0.0228362       -0.0108393
            0.406           0.0275                0        -0.228171       -0.0504788       -0.0279007
            0.406          0.02875                0        -0.166579       -0.0818641       -0.0467734
            0.406             0.03                0        -0.104987        -0.113249        -0.065646
          0.40725             0.02                0           116408         -439.922          31.2063
          0.40725          0.02125                0           117782          122.151          6.31144
          0.40725           0.0225                0           120043          3269.47         -64.9816
          0.40725          0.02375                0           123845            10727         -82.1139
          0.40725            0.025                0           138294          10636.9           95.766
          0.40725          0.02625                0           152614            19904          659.066
          0.40725           0.0275                0           173780          44325.7          53.0524
          0.40725          0.02875                0           248596          62202.9         -2234.88
